Mega 1,Mega 2,matches,mega1_wins,mega2_wins,mega1_winrate,4plus_matches,4plus_mega1_wins,4plus_mega2_wins,4plus_mega1_winrate,top_cut_matches,top_cut_mega1_wins,top_cut_mega2_wins,top_cut_mega1_winrate
Dragonite,Starmie,35,17,16,48.57,6,4,2,66.67,0,0,0,
Dragonite,Gengar,139,67,65,48.2,37,19,18,51.35,6,3,3,50
Dragonite,Delphox,90,43,47,47.78,31,17,14,54.84,14,9,5,64.29
Dragonite,Gardevoir,82,39,38,47.56,21,10,11,47.62,6,3,3,50
Dragonite,Kangaskhan,41,19,20,46.34,4,3,1,75,0,0,0,
Dragonite,Glimmora,44,20,24,45.45,10,5,5,50,2,1,1,50
Dragonite,Meganium,81,35,46,43.21,19,7,12,36.84,7,2,5,28.57
Dragonite,Golurk,35,15,19,42.86,5,1,4,20,2,0,2,0
Dragonite,Froslass,131,54,72,41.22,42,21,21,50,12,5,7,41.67
Dragonite,Venusaur,32,13,18,40.63,13,8,5,61.54,2,1,1,50
Dragonite,Scizor,31,12,19,38.71,9,3,6,33.33,2,1,1,50
Dragonite,Floette,216,74,134,34.26,76,28,48,36.84,26,12,14,46.15
Dragonite,Tyranitar,135,44,86,32.59,27,7,20,25.93,5,0,5,0
Drampa,Charizard Y,22,11,8,50,2,1,1,50,0,0,0,
Drampa,Floette,29,14,15,48.28,6,4,2,66.67,3,1,2,33.33
Excadrill,Charizard Y,21,9,12,42.86,1,0,1,0,0,0,0,
Floette,Crabominable,29,21,8,72.41,5,4,1,80,1,1,0,100
Floette,Charizard X,22,15,7,68.18,6,4,2,66.67,2,1,1,50
Floette,Lucario,34,22,11,64.71,6,5,1,83.33,3,1,2,33.33
Floette,Golurk,48,30,18,62.5,14,8,6,57.14,8,2,6,25
